Make,Model,G.C Number,kW Gross,kW Net,Net kW (+5%/-10%),Max CO2%,Min CO2%,Max Ratio,Max Co (PPM),Max (Burner Pressure Mb),Min (Burner Pressure Mb),Strip Service Required
Ideal,Logic Combi C 24,4734918,26.973,24.3,21.9 - 25.5,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi C 30,4734919,33.744,30.4,27.4 - 31.9,9.3(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi C 35,4734920,39.294,35.4,31.9 - 37.2,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi ES24,4734901,26.973,24.3,21.9 - 25.5,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi ES30,4734902,33.744,30.4,27.4 - 31.9,,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi ES35,4734903,39.294,35.4,31.9 - 37.2,,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi ESP24,4734912,26.973,24.3,21.9 - 25.5,,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic Combi ESP30,4734913,33.744,30.4,27.4 - 31.9,,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic Combi ESP35,4734914,39.294,35.4,31.9 - 37.2,,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic Combi ESP1 24,4734921,26.973,24.3,21.9 - 25.5,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi ESP1 30,4734922,33.744,30.4,27.4 - 31.9,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi ESP1 35,4734923,39.294,35.4,31.9 - 37.2,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat 12,4139999,13.431,12.1,10.9 - 12.7,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat 15,4140993,16.761,15.1,13.6 - 15.9,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat 18,4140994,20.091,18.1,16.3 - 19.0,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat 24,4140995,26.973,24.3,21.9 - 25.5,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Max System S18,4179614,20.091,18.1,16.3 - 19.0,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic+ CombI 24,4734865,26.973,24.3,21.9 - 25.5,N/A,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic+ CombI 30,4734866,33.744,30.4,27.4 - 31.9,N/A,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic+ Combi C 24,4734915,26.973,24.3,21.9 - 25.5,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic+ Combi C 30,4734916,33.744,30.4,27.4 - 31.9,9.3(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Mini C24,4734818,29.526,26.6,23.9 - 27.9,N/A,N/A,0.004,N/A,11.7,1.8,Yes
Main,15 Heat ErP,4146724,16.88,15.2,13.7 - 16.0,9.0(+/-1.0),N/A,0.004,N/A,N/A,N/A,If Ratio is greater than 0.0004
Main,18 Heat ErP,4146725,20.18,18.18,16.4 - 19.1,9.0(+/-1.0),N/A,0.004,N/A,N/A,N/A,If Ratio is greater than 0.0004
Main,Combi 24 HE,4747402,27.52,24.8,22.3 - 26.0,N/A,N/A,N/A,N/A,10.2,2,Yes
Main,Eco Elite 24 System ErP,4146728,28.92,26.05405405,23.4 - 27.4,9.0(+0.0/-0.4),8.4(+0.0/-0.4),0.004,N/A,N/A,N/A,Refer To M.I's
Potterton,Assure Combi 30,4739359,34.33,30.93,27.8 - 32.5,9.0(+0.3/-0.2),8.5(+0.1/-0.4,0.004,N/A,N/A,N/A,Yes
Potterton,Assure 16 Heat,4159267,18.32,26.05,23.4 - 27.4,9.3(+/-0.1),8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Assure 19 Heat,4159268,21.75,19.59,17.6 - 20.6,9.3(+/-0.1),8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Assure Combi 36,4739367,40.848,36.8,33.1 - 38.6,9.0(+0.3/-0.2),8.5(+0.1/-0.4,0.004,N/A,N/A,N/A,Yes
Potterton,Gold Combi 24 HE,4759005,27.417,24.7,22.2 - 25.9,8.7(+/-0.2),8.4(+/-0.2),N/A,N/A,N/A,N/A,Yes
Potterton,Gold Combi 28 HE,4759006,32.079,28.9,26.0 - 30.3,8.7(+/-0.2),8.4(+/-0.2),N/A,N/A,N/A,N/A,Yes
Potterton,Heatmax Combi 24 HE,4739327,27.417,24.7,22.2 - 25.9,8.7(+/-0.2),8.4(+/-0.2),N/A,N/A,N/A,N/A,Refer To M.I's
Potterton,KINGFISHER CF40,4158902,16.2615,14.65,13.2 - 15.4,N/A,N/A,N/A,N/A,14.2,8.4,Yes
Potterton,Performa 24,4739306,26.3,23.69,21.3 - 24.9,N/A,N/A,N/A,N/A,12.2(+/-0.5),2.5(+/-0.2),Yes
Potterton,Performa 24 Eco HE,4739311,27.528,24.8,22.3 - 26.0,N/A,N/A,N/A,N/A,10.2(+/-0.5),2.0(+/-0.3),Yes
Potterton,Prima 50F,4160703,20.3352,18.32,16.5 - 19.2,N/A,N/A,N/A,N/A,11,7,Yes
Potterton,Prima 30F,4160701,12.1989,10.99,9.9 - 11.5,N/A,N/A,N/A,N/A,8.4,3.9,Yes
Potterton,Prima 40F,4160702,16.2615,14.65,13.2 - 15.4,N/A,N/A,N/A,N/A,11.3,6.5,Yes
Potterton,Promax 15 System ErP,4159243,18.981,17.1,15.4 - 18.0,8.7(+/-0.2),8.4(+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax 15 HE,4159058,18.7368,16.88,15.2 - 17.7,N/A,N/A,N/A,N/A,N/A,N/A,Yes
Potterton,Promax 24 HE,4159062,27.195,24.5,22.1 - 25.7,N/A,N/A,N/A,N/A,N/A,N/A,Yes
Potterton,Promax 28 Combi ERP,4739348,32.1,28.91891892,26.0 - 30.4,8.7(+/-0.2),8.4(+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax Combi 28 HE Plus,4759004,32.079,28.9,26.0 - 30.3,8.7(+/-0.2),8.4(+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax 33 HE Plus,4759003,37.74,34,30.6 - 35.7,,8.4(+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax SL15 Heat ErP,4159235,16.88,15.20720721,13.7 - 16.0,9.0(+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Potterton,Promax Ultra 28 Combi Erp,4739355,32.1,28.91891892,26.0 - 30.4,9.0(+/-0.7),9.0(+/-0.7),0.004,N/A,N/A,N/A,Yes
Potterton,Promax Ultra 33 Combi Erp,4739356,37.8,34.05405405,30.6 - 35.8,9.0(+/-0.7),9.0(+/-0.7),0.004,N/A,N/A,N/A,Yes
Potterton,SUPRIMA 30,4160775,12.21,11,9.9 - 11.6,N/A,N/A,N/A,N/A,9.3,4.1,Yes
Potterton,SUPRIMA 40,4160776,16.317,14.7,13.2 - 15.4,,N/A,N/A,N/A,11.2,6.1,Yes
Remeha,Avanta plus 24s,4128801,26.64,24,21.6 - 25.2,8.8(+/-0.1),8.8(+/-0.1),N/A,200,N/A,N/A,If Combustion Readings Are Unsatisfactory
Remeha,Avanta Plus 28c,4767302,31.08,28,25.2 - 29.4,8.8(+/-0.1),8.8(+/-0.1),N/A,200,N/A,N/A,If Combustion Readings Are Unsatisfactory
Vaillant,EcoFIT Pure OV 415,4169409,20.424,18.4,16.6 - 19.3,9.2(+/-1.0),N/A,0.0031,250,N/A,N/A,Every 5 Years
Vaillant,Ecofit pure System 618,4169405,28.527,25.7,23.1 - 27.0,9.2(+/-1.0),N/A,0.0027,250,N/A,N/A,Every 5 Years
Vaillant,EcoFIT Sustain 415,4169433,16.983,15.3,13.8 - 16.1,9.2(+/-1.0),N/A,0.0031,250,N/A,N/A,Every 5 Years
Vaillant,EcoFIT Sustain 615,4169430,16.983,15.3,13.8 - 16.1,9.2(+/-1.0),N/A,0.0031,250,N/A,N/A,Every 5 Years
Vaillant,EcoFIT Sustain 618,4169431,20.424,18.4,16.6 - 19.3,9.2(+/-1.0),N/A,0.0031,250,N/A,N/A,Every 5 Years
Vaillant,EcoFIT Sustain 825,4704471,28.527,25.7,23.1 - 27.0,9.2(+/-1.0),N/A,0.0027,250,N/A,N/A,Every 5 Years
Vaillant,EcoFIT Sustain 830,4704472,33.966,30.6,27.5 - 32.1,9.2(+/-1.0),N/A,0.0027,250,N/A,N/A,Every 5 Years
Vaillant,EcoFIT Sustain 835,4704473,39.627,35.7,32.1 - 37.5,9.2(+/-1.0),N/A,0.0027,250,N/A,N/A,Every 5 Years
Vaillant,EcoMAX 824/2E,4704412,25.53,23,20.7 - 24.2,9.2(+/-1.0),N/A,N/A,250,N/A,N/A,Every 5 Years
Vaillant,EcoTEC Plus 415,4104453,16.983,15.3,13.8 - 16.1,9.3(+0.2/-0.5),N/A,N/A,N/A,N/A,N/A,Every 5 Years
Vaillant,EcoTEC Plus 418,4104454,20.979,18.9,17.0 - 19.8,9.3(+0.2/-0.5),N/A,N/A,N/A,N/A,N/A,Every 5 Years
Vaillant,EcoTEC Plus 424,4169416,33.966,30.6,27.5 - 32.1,9.2(+/-1.0),N/A,N/A,250,N/A,N/A,Every 5 Years
Vaillant,EcoTEC Plus 428,4104455,31.746,28.6,25.7 - 30.0,9.3(+0.2/-0.5),N/A,N/A,N/A,N/A,N/A,Every 5 Years
Vaillant,EcoTEC Plus 612,4104444,13.32,12,10.8 - 12.6,9.2(+/-1.0),N/A,N/A,250,N/A,N/A,Every 5 Years
Vaillant,EcoTEC Plus 615,4104445,16.65,15,13.5 - 15.8,9.2(+/-1.0),N/A,N/A,250,N/A,N/A,Every 5 Years
Vaillant,EcoTEC Plus 618,4104446,19.98,18,16.2 - 18.9,9.2(+/-1.0),N/A,N/A,250,N/A,N/A,Every 5 Years
Vaillant,EcoTEC Plus 824,4704431,25.53,23,20.7 - 24.2,9.2(+/-1.0),N/A,N/A,250,N/A,N/A,Every 5 Years
Vaillant,EcoTEC Plus 825,4704457,28.749,25.9,23.3 - 27.2,9.2(+/-1.0),N/A,0.0031,250,N/A,N/A,Every 5 Years
Vaillant,EcoTEC Pro 24,4704436,25.53,23,20.7 - 24.2,9.2(+/-1.0),N/A,N/A,250,N/A,N/A,Every 5 Years
Vaillant,EcoTEC Pro 28,4704430,31.08,28,25.2 - 29.4,9.2(+/-1.0),N/A,N/A,250,N/A,N/A,Every 5 Years
Vaillant,EcoTEC Sustain 24,4704479,27.084,24.4,22.0 - 25.6,9.2(+/-1.0),N/A,0.0031,250,N/A,N/A,Every 5 Years
Vaillant,ecoTec Sustain 28,4704480,31.635,28.5,25.7 - 29.9,9.2(+/-1.0),N/A,0.0031,250,N/A,N/A,Every 5 Years
Vaillant,ecoTec Sustain 34,4704481,38.406,34.6,31.1 - 36.3,9.2(+/-1.0),N/A,0.0031,250,N/A,N/A,Every 5 Years
Vaillant,Home Combi 25,4704462,28.527,25.7,23.1 - 27.0,9.2(+/-1.0),N/A,0.0027,250,N/A,N/A,Every 5 Years
Vaillant,Home Combi 30 ,4704463,33.966,30.6,27.5 - 32.1,9.2(+/-1.0),N/A,0.0027,250,N/A,N/A,Every 5 Years
Vaillant,Home Combi 35,4704464,39.627,35.7,32.1 - 37.5,9.2(+/-1.0),N/A,0.0027,250,N/A,N/A,Every 5 Years
Vaillant,Home System 15,4104495,16.983,15.3,13.8 - 16.1,9.2(+/-1.0),N/A,0.0027,250,N/A,N/A,Every 5 Years
Vaillant,Home System 18,4104496,20.424,18.4,16.6 - 19.3,9.2(+/-1.0),N/A,0.0027,250,N/A,N/A,Every 5 Years
Vaillant,Thermocompact 615,4104423,18.315,16.5,14.9 - 17.3,N/A,N/A,N/A,N/A,9.9,2.2,Yes
Vaillant,TURBOmax 242 E,4704425,32.523,29.3,26.4 - 30.8,N/A,N/A,N/A,N/A,10(+/-1.0),2,Yes
Vaillant,TURBOmax 282,4704426,37.962,34.2,30.8 - 35.9,N/A,N/A,N/A,N/A,10.6(+/-1.0),N/A,Yes
Vaillant,TURBOMAX 824 E,4004404,29.637,26.7,24.0 - 28.0,N/A,N/A,N/A,N/A,9.8,N/A,Yes
Viessmann,Vitodens 100-W WB1C Combi 30kW,4781921,33.3,30,27.0 - 31.5,between 7.4 and 10.5,between 7.4 and 10.5,N/A,N/A,N/A,N/A,Yes
Viessmann,Vitodens 100-W WB1B 16kW,4181922,16.65,15,13.5 - 15.8,between 7.4 and 10.5,between 7.4 and 10.5,0.004,N/A,N/A,N/A,Yes
Viessmann,Vitodens 100-W WB1B System 26kW,4181918,28.86,26,23.4 - 27.3,between 7.4 and 10.5,between 7.4 and 10.5,0.008,500,N/A,N/A,Yes
Viessmann,Vitodens 100-W WB1B 13kW,4181921,13.542,12.2,11.0 - 12.8,between 7.4 and 10.5,between 7.4 and 10.5,0.004,N/A,N/A,N/A,Yes
Viessmann,Vitodens 100-W WB1B Combi 26kW,4781912,28.86,26,23.4 - 27.3,between 7.4 and 10.5,between 7.4 and 10.5,0.008,500,N/A,N/A,Yes
Viessmann,Vitodens 100-W WB1C Combi 26kW,4781920,28.86,26,23.4 - 27.3,between 7.4 and 10.5,between 7.4 and 10.5,N/A,N/A,N/A,N/A,Yes
Worcester,Greenstar 12i System,4131167,13.6752,12.32,11.1 - 12.9,9.65(+/-0.5),8.65(+/-0.5),0.002,200,N/A,N/A,If Fan Pressure Is Less Than -3.9mb
Worcester,24CDi,4731130,29.97,27,24.3 - 28.4,N/A,N/A,N/A,N/A,14.8,1.5,Yes
Worcester,Greenstar 24i System,4131168,27.3282,24.62,22.2 - 25.9,9.8(+/-0.5),9.2(+/-0.5),0.002,200,N/A,N/A,If Fan Pressure Is Less Than -4.1mb
Worcester,24i Junior,4731169,28.749,25.9,23.3 - 27.2,between 6.5 and 7.5%,N/A,between 0.002 and 0.010,N/A,13.6,1.4,Yes
Worcester,24i RSF,4731137,28.9155,26.05,23.4 - 27.4,N/A,N/A,N/A,N/A,13.6,1,Yes
Worcester,28Si,4731151,34.521,31.1,28.0 - 32.7,N/A,N/A,N/A,N/A,14.1,0.7,Yes
Worcester,Greenstar 25i ErP,4740660,28.3161,25.51,23.0 - 26.8,between 9.0 and 10.8%above 8.2%,between 8.0 and 10.6%,0.002,200,N/A,N/A,If Fan Pressure Is Less Than -4.5mb
Worcester,28CDI,4731134,34.965,31.5,28.4 - 33.1,N/A,N/A,N/A,N/A,10.8,1,Yes
Worcester,28i Junior,4731170,33.3,30,27.0 - 31.5,between 6.5 and 7.5%,N/A,between 0.002 and 0.010,N/A,14.7,1.2,Yes
Worcester,28i RSF,4731154,33.3,30,27.0 - 31.5,N/A,N/A,N/A,N/A,13.5,1,Yes
Worcester,Greenstar 30i ErP,4740662,33.9771,30.61,27.5 - 32.1,between 9.0 and 10.8%above 8.2%,between 8.0 and 10.6%,0.002,200,N/A,N/A,If Fan Pressure Is Less Than -6.2mb
Worcester,Greenstar 32 CDi,4740646,36.2415,32.65,29.4 - 34.3,9.1(+1.0/-0.5),8.5(+/-1.0),0.0025,250,N/A,N/A,If Fan Preesure Is Less Than -4.4mb
Worcester,4000  25c,4780030,27.195,24.5,22.1 - 25.7,between 8.4 and 10.4%,between 8.0 and 10.2%,0.0025,250,N/A,N/A,If Fan Pressure Is Less Than -3.8mb
Worcester,4000 30c,4780032,32.634,29.4,26.5 - 30.9,between 8.4 and 10.4%,between 8.0 and 10.2%,0.0025,250,N/A,N/A,If Fan Pressure Is Less Than -5.1mb
Worcester,4000 24s,4780015,27.306,24.6,22.1 - 25.8,between 8.4 and 10.4%,between 8.0 and 10.2%,0.0025,250,N/A,N/A,If Fan Pressure Is Less Than -3.4mb
Worcester,Greenstar 12Ri,4131163,13.6752,12.32,11.1 - 12.9,9.8(+/-0.5),9.2(+/-0.5),0.002,200,N/A,N/A,If Fan Pressure Is Less Than -3.6mb
Worcester,Greenstar 15 Ri ErP+,4140676,17.094,15.4,13.9 - 16.2,9.8(+/-0.5),9.2(+/-0.5),0.002,200,N/A,N/A,If Fan Pressure Is Less Than -5.4mb
Worcester,Greenstar 15i System,4131184,17.094,15.4,13.9 - 16.2,9.8(+/-0.5),9.2(+/-0.5),0.002,200,N/A,N/A,If Fan Pressure Is Less Than -5.8mb
Worcester,Greenstar 15i Erp,4140643,17.094,15.4,13.9 - 16.2,9.8(+/-0.5),9.2(+/-0.5),0.002,200,N/A,N/A,If Fan Pressure Is Less Than -5.5mb
Worcester,Greenstar 15Ri,4131175,17.094,15.4,13.9 - 16.2,9.8(+/-0.5),9.2(+/-0.5),0.002,200,N/A,N/A,If Fan Pressure Is Less Than -5.5mb
Worcester,Greenstar 18i System,4131186,20.5128,18.48,16.6 - 19.4,9.8(+/-0.5),9.2(+/-0.5),0.002,200,N/A,N/A,If Fan Pressure Is Less Than -8mb
Worcester,Greenstar 18Ri,4131177,20.5128,18.48,16.6 - 19.4,9.8(+/-0.5),9.2(+/-0.5),0.002,200,N/A,N/A,If Fan Pressure Is Less Than -7.4mb
Worcester,Greenstar 2000 25c,4780026,28.305,25.5,23.0 - 26.8,between 9.0 and 10.8%above 8.2%,,0.0025,250,N/A,N/A,If Fan Pressure Is Less Than -3.2mb
Worcester,Greenstar 25Si,4731184,28.3161,25.51,23.0 - 26.8,9.8(+/-0.5),9.2(+/-0.5),0.002,200,N/A,N/A,If Fan Pressure Is Less Than -3.3mb
Worcester,Greenstar 24i Junior,4731186,27.1839,24.49,22.0 - 25.7,9.8(+/-0.5),9.2(+/-0.5),0.002,200,N/A,N/A,If Fan Pressure Is Less Than -3.1mb
Worcester,Greenstar 29Cdi,4740634,34.299,30.9,27.8 - 32.4,9.6(+/-0.4),9.0(+/-0.4),0.002,200,N/A,N/A,If Fan Pressure Is Less Than -3.9mb
Worcester,Greenstar 30CDi,4740614,35.52,32,28.8 - 33.6,9.6(+/-0.4),9.0(+/-0.4),0.002,200,N/A,N/A,If Fan Pressure Is Less Than -4.1mb
Worcester,Greenstar 30Si,4731185,33.9771,30.61,27.5 - 32.1,9.8(+/-0.5),9.2(+/-0.5),0.002,200,N/A,N/A,If Fan Pressure Is Less Than -3.1mb
Worcester,Greenstar 28i Junior,4731187,31.7127,28.57,25.7 - 30.0,9.8(+/-0.5),9.2(+/-0.5),0.002,200,N/A,N/A,If Fan Pressure Is Less Than -3.9mb
Worcester,Greenstar 24Ri,4131165,27.3282,24.62,22.2 - 25.9,9.8(+/-0.5),9.2(+/-0.5),0.002,200,N/A,N/A,If Fan Pressure Is Less Than -3.1mb
Worcester,Greenstar 28 Cdi Compact ,4731144,31.7127,28.57,25.7 - 30.0,9.1(+1.0/-0.5),8.5(+/-1.0),0.0025,250,N/A,N/A,If Fan Preesure Is Less Than -3.5mb
Worcester,R 30 HE Plus,4131179,32.745,29.5,26.6 - 31.0,9.2,8.8,0.002,200,N/A,N/A,If Fan Pressure Is Less Than -5.2mb
